,timestamp,tvlUSD,tvlETH,BTC,ETH,DAI
463,1585008000,634365001,4614906.16179252,6982.74393459,2713627.9679717873,49547389.936566085
464,1584921600,589169200,4748683.80752801,6858.85398668,2739937.1512723984,47869453.99517239
465,1584835200,666875290,4992328.866596796,7115.73100222,2743713.1429785327,46991515.47022193
466,1584748800,622746968,4648059.173010897,7351.00066922,2745125.424330151,45975932.109171145
467,1584662400,634363064,4614892.070420485,8052.88981215,2747451.157635092,45689986.593676895
468,1584576000,571502438,4770869.338008179,7811.943918520001,2791617.6549378405,47130115.50069099
469,1584489600,556273759,4769559.795935866,7767.026908740001,2803014.0523183937,47466272.67514397
470,1584403200,545714592,4862466.292435177,6871.890498860001,2876322.6770864343,42943399.85033487
471,1584316800,596849213,4733517.431993021,8947.10467701,2873382.97679688,48563776.72349483
472,1584230400,607789814,4897975.775646708,9443.9669041,2899136.9828657387,51027964.03218696
473,1584144000,674190085,4958373.795690225,9076.348072499999,2965625.778943331,51616013.34274486
474,1584057600,570975334,5222972.319795099,8906.397866000001,3014792.270193561,63869794.458797075
475,1583971200,910330613,4627544.799715331,8159.90413882,2832020.9674764085,79811079.08495496
476,1583884800,930529454,4604074.286279748,8002.270771289999,2840043.097793237,83510974.32177125
477,1583798400,949689633,4656710.959105618,7527.574694339999,2844699.675252674,82177273.80917527
478,1583712000,907461078,4503528.923076923,7813.01684718,2732116.2454708177,84964063.89057195
479,1583625600,1046708603,4350409.821280134,7885.27225407,2716252.0886806026,84504099.92843975
480,1583539200,1066500388,4316067.940105221,8456.39314502,2728095.5104980865,85002099.84504594
481,1583452800,1011416060,4396696.48756738,8240.0522996,2746120.0013073087,82850976.69452481
482,1583366400,1011762775,4446917.963255977,7623.522750919999,2751097.2969330703,83476321.73376012
483,1583280000,991534190,4391594.428204446,7764.211817179999,2691276.137163178,79413998.57190663
484,1583193600,1031442009,4402040.070846315,8048.712981770001,2741540.9712785003,81799887.99747667
485,1583107200,970950504,4390858.336725003,8495.579261070001,2747400.571036961,82106152.77399498
486,1583020800,995601812,4474212.70896998,8508.330737330001,2862525.9307357646,82320263.6146493
487,1582934400,1016503780,4423620.610122285,7950.338426009999,2861039.652165016,85313559.39109625
488,1582848000,1019807944,4432020.617122992,7234.173128299999,2862607.2605664297,108835192.17695686
489,1582761600,983134537,4366187.933561308,6413.32151098,2873736.821535818,112513134.68992105
490,1582675200,1062405321,4276649.710168264,1647.05066657,2906845.671079791,92763373.35070507
491,1582588800,1125874406,4212971.134560695,1605.23150756,2895308.325329834,87756684.53720142
